Retriever,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Average
Cohere Rerank,0.9547966532054941,0.9455875391530584,0.9097222221746528,0.9672619047619048,0.9443420798237775
Bm25,0.934602494794499,0.9460984263619582,0.8605324073676844,0.9880952380952381,0.9323321416548449
Naive,0.9219416190663164,0.9481576216426677,0.8467592592204088,0.9880952380952381,0.9262384345061577
Ensemble,0.9168664455356864,0.9435358366095161,0.8276785713953192,1.0,0.9220202133851304
