Retriever,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Average
Cohere Rerank,0.9649595482928817,0.9451314414296434,0.9861111110618056,0.9625,0.9646755251960827
Bm25,0.9561936406471413,0.9534243792319189,0.872569444403093,0.9833333333333334,0.9413801994038716
Ensemble,0.9758244736807838,0.9611414005524589,0.837943121668848,0.9833333333333334,0.939560582308856
Naive,0.9349064983637213,0.9464696431175751,0.8410879629313185,0.9416666666666668,0.9160326927698205
