Retriever,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Average
Cohere Rerank,0.9576708557143339,0.9477841199071847,0.9305555555083331,0.9672619047619048,0.9508181089729391
Naive,0.9397370818041315,0.9438844292109442,0.8850694444034635,0.9880952380952381,0.9391965483784444
Ensemble,0.934011329946359,0.9456209140222537,0.8745833333023287,0.9880952380952381,0.9355777038415449
Bm25,0.9416504401292954,0.9479166900286294,0.8582175925527499,0.9880952380952381,0.9339699902014782
